t,u
0,1.0
0.004166666666666667,1.0
0.008333333333333333,1.0
0.0125,1.0
0.01666666666666667,1.0
0.02083333333333333,1.0
0.025,1.0
0.02916666666666667,1.0
0.03333333333333333,1.0
0.0375,1.0
0.04166666666666666,1.0
0.04583333333333333,1.0
0.05,1.0
0.05416666666666667,1.0
0.05833333333333333,1.0
0.0625,1.0
0.06666666666666667,1.0
0.07083333333333333,1.0
0.075,1.0
0.07916666666666666,1.0
0.08333333333333333,1.0
0.08749999999999999,1.0
0.09166666666666666,1.0
0.09583333333333333,1.0
0.1,1.0
0.1041666666666667,1.0
0.1083333333333333,1.0
0.1125,1.0
0.1166666666666667,1.0
0.1208333333333333,1.0
0.125,1.0
0.1291666666666667,1.0
0.1333333333333333,1.0
0.1375,1.0
0.1416666666666667,1.0
0.1458333333333333,1.0
0.15,1.0
0.1541666666666667,1.0
0.1583333333333333,1.0
0.1625,1.0
0.1666666666666667,1.0
0.1708333333333333,1.0
0.175,1.0
0.1791666666666667,1.0
0.1833333333333333,1.0
0.1875,1.0
0.1916666666666667,1.0
0.1958333333333333,1.0
0.2,1.0
0.2041666666666667,1.0
0.2083333333333333,1.0
0.2125,1.0
0.2166666666666667,1.0
0.2208333333333333,1.0
0.225,1.0
0.2291666666666667,1.0
0.2333333333333333,1.0
0.2375,1.0
0.2416666666666667,1.0
0.2458333333333333,1.0
0.25,1.0
0.2541666666666667,1.0
0.2583333333333333,1.0
0.2625,1.0
0.2666666666666667,1.0
0.2708333333333333,1.0
0.275,1.0
0.2791666666666667,1.0
0.2833333333333333,1.0
0.2875,1.0
0.2916666666666667,1.0
0.2958333333333333,1.0
0.3,1.0
0.3041666666666666,1.0
0.3083333333333333,1.0
0.3125,1.0
0.3166666666666667,1.0
0.3208333333333333,1.0
0.325,1.0
0.3291666666666667,1.0
0.3333333333333333,1.0
0.3375,1.0
0.3416666666666667,1.0
0.3458333333333333,1.0
0.35,1.0
0.3541666666666667,1.0
0.3583333333333333,1.0
0.3625,1.0
0.3666666666666666,1.0
0.3708333333333333,1.0
0.375,1.0
0.3791666666666667,1.0
0.3833333333333333,1.0
0.3875,1.0
0.3916666666666667,1.0
0.3958333333333333,1.0
0.4,1.0
0.4041666666666667,1.0
0.4083333333333333,1.0
0.4125,1.0
0.4166666666666667,1.0
0.4208333333333333,1.0
0.425,1.0
0.4291666666666666,1.0
0.4333333333333333,1.0
0.4375,1.0
0.4416666666666667,1.0
0.4458333333333333,1.0
0.45,1.0
0.4541666666666667,1.0
0.4583333333333333,1.0
0.4625,1.0
0.4666666666666667,1.0
0.4708333333333333,1.0
0.475,1.0
0.4791666666666667,1.0
0.4833333333333333,1.0
0.4875,1.0
0.4916666666666666,1.0
0.4958333333333333,1.0
0.5,1.0
0.5041666666666667,1.0
0.5083333333333333,1.0
0.5125,1.0
0.5166666666666666,1.0
0.5208333333333334,1.0
0.525,1.0
0.5291666666666667,1.0
0.5333333333333333,1.0
0.5375,1.0
0.5416666666666666,1.0
0.5458333333333333,1.0
0.55,1.0
0.5541666666666667,1.0
0.5583333333333333,1.0
0.5625,1.0
0.5666666666666667,1.0
0.5708333333333333,1.0
0.575,1.0
0.5791666666666666,1.0
0.5833333333333334,1.0
0.5875,1.0
0.5916666666666667,1.0
0.5958333333333333,1.0
0.6,1.0
0.6041666666666666,1.0
0.6083333333333333,1.0
0.6125,1.0
0.6166666666666667,1.0
0.6208333333333333,1.0
0.625,1.0
0.6291666666666667,1.0
0.6333333333333333,1.0
0.6375,1.0
0.6416666666666666,1.0
0.6458333333333334,1.0
0.65,1.0
0.6541666666666667,1.0
0.6583333333333333,1.0
0.6625,1.0
0.6666666666666666,1.0
0.6708333333333333,1.0
0.675,1.0
0.6791666666666667,1.0
0.6833333333333333,1.0
0.6875,1.0
0.6916666666666667,1.0
0.6958333333333333,1.0
0.7,1.0
0.7041666666666666,1.0
0.7083333333333334,1.0
0.7125,1.0
0.7166666666666667,1.0
0.7208333333333333,1.0
0.725,1.0
0.7291666666666666,1.0
0.7333333333333333,1.0
0.7375,1.0
0.7416666666666667,1.0
0.7458333333333333,1.0
0.75,1.0
0.7541666666666667,1.0
0.7583333333333333,1.0
0.7625,1.0
0.7666666666666666,1.0
0.7708333333333334,1.0
0.775,1.0
0.7791666666666667,1.0
0.7833333333333333,1.0
0.7875,1.0
0.7916666666666666,1.0
0.7958333333333333,1.0
0.8,1.0
0.8041666666666667,1.0
0.8083333333333333,1.0
0.8125,1.0
0.8166666666666667,1.0
0.8208333333333333,1.0
0.825,1.0
0.8291666666666666,1.0
0.8333333333333334,1.0
0.8375,1.0
0.8416666666666667,1.0
0.8458333333333333,1.0
0.85,1.0
0.8541666666666666,1.0
0.8583333333333333,1.0
0.8624999999999999,1.0
0.8666666666666667,1.0
0.8708333333333333,1.0
0.875,1.0
0.8791666666666667,1.0
0.8833333333333333,1.0
0.8875,1.0
0.8916666666666666,1.0
0.8958333333333334,1.0
0.9,1.0
0.9041666666666667,1.0
0.9083333333333333,1.0
0.9125,1.0
0.9166666666666666,1.0
0.9208333333333333,1.0
0.9249999999999999,1.0
0.9291666666666667,1.0
0.9333333333333333,1.0
0.9375,1.0
0.9416666666666667,1.0
0.9458333333333333,1.0
0.95,1.0
0.9541666666666666,1.0
0.9583333333333334,1.0
0.9625,1.0
0.9666666666666667,1.0
0.9708333333333333,1.0
0.975,1.0
0.9791666666666666,1.0
0.9833333333333333,1.0
0.9874999999999999,1.0
0.9916666666666667,1.0
0.9958333333333333,1.0
1,0.0
1.004166666666667,0.0
1.008333333333333,0.0
1.0125,0.0
1.016666666666667,0.0
1.020833333333333,0.0
1.025,0.0
1.029166666666667,0.0
1.033333333333333,0.0
1.0375,0.0
1.041666666666667,0.0
1.045833333333333,0.0
1.05,0.0
1.054166666666667,0.0
1.058333333333333,0.0
1.0625,0.0
1.066666666666667,0.0
1.070833333333333,0.0
1.075,0.0
1.079166666666667,0.0
1.083333333333333,0.0
1.0875,0.0
1.091666666666667,0.0
1.095833333333333,0.0
1.1,0.0
1.104166666666667,0.0
1.108333333333333,0.0
1.1125,0.0
1.116666666666667,0.0
1.120833333333333,0.0
1.125,0.0
1.129166666666667,0.0
1.133333333333333,0.0
1.1375,0.0
1.141666666666667,0.0
1.145833333333333,0.0
1.15,0.0
1.154166666666667,0.0
1.158333333333333,0.0
1.1625,0.0
1.166666666666667,0.0
1.170833333333333,0.0
1.175,0.0
1.179166666666667,0.0
1.183333333333333,0.0
1.1875,0.0
1.191666666666667,0.0
1.195833333333333,0.0
1.2,0.0
1.204166666666667,0.0
1.208333333333333,0.0
1.2125,0.0
1.216666666666667,0.0
1.220833333333333,0.0
1.225,0.0
1.229166666666667,0.0
1.233333333333333,0.0
1.2375,0.0
1.241666666666667,0.0
1.245833333333333,0.0
1.25,0.0
1.254166666666667,0.0
1.258333333333333,0.0
1.2625,0.0
1.266666666666667,0.0
1.270833333333333,0.0
1.275,0.0
1.279166666666667,0.0
1.283333333333333,0.0
1.2875,0.0
1.291666666666667,0.0
1.295833333333333,0.0
1.3,0.0
1.304166666666667,0.0
1.308333333333333,0.0
1.3125,0.0
1.316666666666667,0.0
1.320833333333333,0.0
1.325,0.0
1.329166666666667,0.0
1.333333333333333,0.0
1.3375,0.0
1.341666666666667,0.0
1.345833333333333,0.0
1.35,0.0
1.354166666666667,0.0
1.358333333333333,0.0
1.3625,0.0
1.366666666666667,0.0
1.370833333333333,0.0
1.375,0.0
1.379166666666667,0.0
1.383333333333333,0.0
1.3875,0.0
1.391666666666667,0.0
1.395833333333333,0.0
1.4,0.0
1.404166666666667,0.0
1.408333333333333,0.0
1.4125,0.0
1.416666666666667,0.0
1.420833333333333,0.0
1.425,0.0
1.429166666666667,0.0
1.433333333333333,0.0
1.4375,0.0
1.441666666666667,0.0
1.445833333333333,0.0
1.45,0.0
1.454166666666667,0.0
1.458333333333333,0.0
1.4625,0.0
1.466666666666667,0.0
1.470833333333333,0.0
1.475,0.0
1.479166666666667,0.0
1.483333333333333,0.0
1.4875,0.0
1.491666666666667,0.0
1.495833333333333,0.0
1.5,0.0
1.504166666666667,0.0
1.508333333333333,0.0
1.5125,0.0
1.516666666666667,0.0
1.520833333333333,0.0
1.525,0.0
1.529166666666667,0.0
1.533333333333333,0.0
1.5375,0.0
1.541666666666667,0.0
1.545833333333333,0.0
1.55,0.0
1.554166666666667,0.0
1.558333333333333,0.0
1.5625,0.0
1.566666666666667,0.0
1.570833333333333,0.0
1.575,0.0
1.579166666666667,0.0
1.583333333333333,0.0
1.5875,0.0
1.591666666666667,0.0
1.595833333333333,0.0
1.6,0.0
1.604166666666667,0.0
1.608333333333333,0.0
1.6125,0.0
1.616666666666667,0.0
1.620833333333333,0.0
1.625,0.0
1.629166666666667,0.0
1.633333333333333,0.0
1.6375,0.0
1.641666666666667,0.0
1.645833333333333,0.0
1.65,0.0
1.654166666666667,0.0
1.658333333333333,0.0
1.6625,0.0
1.666666666666667,0.0
1.670833333333333,0.0
1.675,0.0
1.679166666666667,0.0
1.683333333333333,0.0
1.6875,0.0
1.691666666666667,0.0
1.695833333333333,0.0
1.7,0.0
1.704166666666667,0.0
1.708333333333333,0.0
1.7125,0.0
1.716666666666667,0.0
1.720833333333333,0.0
1.725,0.0
1.729166666666667,0.0
1.733333333333333,0.0
1.7375,0.0
1.741666666666667,0.0
1.745833333333333,0.0
1.75,0.0
1.754166666666667,0.0
1.758333333333333,0.0
1.7625,0.0
1.766666666666667,0.0
1.770833333333333,0.0
1.775,0.0
1.779166666666667,0.0
1.783333333333333,0.0
1.7875,0.0
1.791666666666667,0.0
1.795833333333333,0.0
1.8,0.0
1.804166666666667,0.0
1.808333333333333,0.0
1.8125,0.0
1.816666666666667,0.0
1.820833333333333,0.0
1.825,0.0
1.829166666666667,0.0
1.833333333333333,0.0
1.8375,0.0
1.841666666666667,0.0
1.845833333333333,0.0
1.85,0.0
1.854166666666667,0.0
1.858333333333333,0.0
1.8625,0.0
1.866666666666667,0.0
1.870833333333333,0.0
1.875,0.0
1.879166666666667,0.0
1.883333333333333,0.0
1.8875,0.0
1.891666666666667,0.0
